id,subunit,iou_0,iou_1,iou_2,dice_0,dice_1,dice_2,recall_0,recall_1,recall_2,specificity_0,specificity_1,specificity_2
4671,52,0.99704176,0.730061556,0.661838966,0.998518689,0.843971769,0.796513958,0.999999493,0.751370715,0.933717805,0.953251237,0.998739514,0.992353913
4671,51,0.997686146,0.751969737,0.708179045,0.998841733,0.85842777,0.829162548,0.99999697,0.780325482,0.927248976,0.960707219,0.998564018,0.994014616
4671,50,0.964997106,0.660503688,0.38770777,0.982186796,0.795546186,0.558774373,1,0.667307626,0.769762087,0.723755998,0.998712562,0.995077461
4671,5,0.987771582,0.726339902,0,0.993848177,0.841479596,0,0.999997946,0.726359362,,0.838510898,0.999997946,0.992015839
4671,49,0.979736815,0.744024305,0.587054409,0.989764708,0.853226991,0.739803759,1,0.760020939,0.844762419,0.842616921,0.997557349,0.993708404
4671,48,0.997997204,0.674913353,0.55144251,0.998997598,0.805908379,0.710877143,0.999997979,0.698097855,0.911978002,0.966342361,0.998552441,0.989517252
4671,47,0.999958325,0.73268861,0.661856741,0.999979162,0.845724507,0.79652683,0.999974697,0.782614765,0.891578914,0.999595484,0.998330733,0.994718546
4671,46,0.970283806,0.660859383,0.364670205,0.984917811,0.795804136,0.534444444,0.999969891,0.662222222,0.941906005,0.760157804,0.999752157,0.99069498
4671,45,0.985094527,0.173118733,0.072069755,0.992491303,0.295142731,0.134449749,1,0.173118733,0.999286733,0.76890965,1,0.965503953
4671,44,0.998682824,0.78116389,0.797950758,0.999340978,0.8771387,0.887622483,0.999997507,0.818646013,0.936475722,0.97121298,0.998773022,0.996674497
4671,43,0.970837584,0.658809608,0.284740629,0.985203034,0.794316122,0.443265547,1,0.666936476,0.797877984,0.789753135,0.998352489,0.986947618
4671,42,0.996026827,0.706125837,0.668481096,0.998009459,0.827753524,0.801304969,0.999999492,0.75064145,0.876222389,0.939647082,0.997299876,0.993360389
4671,41,0.999391181,0.748783158,0.035167563,0.999695498,0.856347632,0.067945643,1,0.755841836,0.488194001,0.993236615,0.999167618,0.980720319
4671,40,0.961247989,0.625404955,0.47170145,0.980241147,0.769537404,0.641028723,1,0.639795467,0.785335689,0.739038714,0.996836789,0.991273362
4671,4,0.987890656,0.707591899,0.164400904,0.993908445,0.828759962,0.282378524,0.999998959,0.733739563,0.440300315,0.865804812,0.996883186,0.990028612
4671,39,0.985066273,0.527741181,0.774801121,0.992476963,0.690877732,0.873113175,0.999979508,0.570183897,0.880070911,0.796501739,0.996514494,0.996128591
4671,38,0.983500848,0.509310215,0.725020898,0.991681802,0.674891364,0.840593756,0.999997971,0.510950009,0.991039211,0.737173424,0.999851342,0.99408788
4671,37,0.959621256,0.598797776,0.392631579,0.979394618,0.749060056,0.563869992,0.999995636,0.603746678,0.870681606,0.707813068,0.998897488,0.989969308
4671,36,0.996110863,0.697957784,0.552323246,0.998051643,0.822114414,0.711608548,0.999998462,0.726514028,0.880698196,0.948128058,0.997750863,0.989184749
